web-scraper-order,web-scraper-start-url,Autre_animaux_links,Autre_animaux_links-href,Nom,Price,Adresse,lien_image
"1739019301-39","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Persan","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-1935403","","","Fann, Dakar, Sénégal",""
"1739019304-40","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches","https://sn.coinafrique.com/annonce/autres-animaux/vaches-1935629","","","Diourbel, Sénégal",""
"1739019307-41","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1954085","","","",""
"1739019310-42","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton","https://sn.coinafrique.com/annonce/autres-animaux/chaton-1962491","","","Fann, Dakar, Sénégal",""
"1739019312-43","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1998573","","","Dakar Plateau, Dakar, Sénégal",""
"1739019315-44","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton persan chinchilla","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-chinchilla-2025374","","","Fann-Point E-Amitié, Dakar, Sénégal",""
"1739019318-45","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton persan blanc","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-blanc-2052355","","","Fann, Dakar, Sénégal",""
"1739019321-46","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chèvre Race Boer","https://sn.coinafrique.com/annonce/autres-animaux/chevre-race-boer-2061898","","","Patte d'oie, Dakar, Sénégal",""
"1739019324-47","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-2088141","","","Sicap Liberté, Dakar, Sénégal",""
"1739019327-48","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-2101700","","","Fann, Dakar, Sénégal",""
"1739019330-49","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf élevage","https://sn.coinafrique.com/annonce/autres-animaux/buf-elevage-2147334","","","",""
"1739019333-50","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-2161624","","","Dakar, Sénégal",""
"1739019335-51","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Poussins brahman et cochin","https://sn.coinafrique.com/annonce/autres-animaux/poussins-brahman-et-cochin-2230369","","","Keur Massar, Sénégal",""
"1739019338-52","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-2239779","","","Bambey, Sénégal",""
"1739019341-53","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton york chocolat","https://sn.coinafrique.com/annonce/autres-animaux/chaton-york-chocolat-2240976","","","Dakar, Sénégal",""
"1739019344-54","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau Nélore","https://sn.coinafrique.com/annonce/autres-animaux/taureau-nelore-2251055","","","Guediawaye, Dakar, Sénégal",""
"1739019347-55","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-2275120","","","Dakar, Sénégal",""
"1739019350-56","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-2276153","","","Dakar, Sénégal",""
"1739019353-57","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-2281845","","","Medina, Dakar, Sénégal",""
"1739019356-58","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-2296024","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal",""
"1739019359-59","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Kittens / chatons","https://sn.coinafrique.com/annonce/autres-animaux/kittens-chatons-2319268","","","Yoff, Dakar, Sénégal",""
"1739019361-60","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde","https://sn.coinafrique.com/annonce/autres-animaux/dinde-2351112","","","Dakar, Sénégal",""
"1739019364-61","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat blanc turc","https://sn.coinafrique.com/annonce/autres-animaux/chat-blanc-turc-2388043","","","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1739019367-62","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couples Paons","https://sn.coinafrique.com/annonce/autres-animaux/couples-paons-2394305","","","Keur Massar, Sénégal",""
"1739019370-63","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Souris blanc","https://sn.coinafrique.com/annonce/autres-animaux/souris-blanc-2407511","","","Hann Bel-Air, Dakar, Sénégal",""
"1739019373-64","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindes","https://sn.coinafrique.com/annonce/autres-animaux/dindes-2421638","","","Mbour, Sénégal",""
"1739019375-65","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Géniteur hollandais Holstein","https://sn.coinafrique.com/annonce/autres-animaux/geniteur-hollandais-holstein-2430101","","","Mboro, Sénégal",""
"1739019378-66","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches hollandaises","https://sn.coinafrique.com/annonce/autres-animaux/vaches-hollandaises-2434087","","","Saint Louis, Sénégal",""
"1739019381-67","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-2550824","","","Diourbel, Sénégal",""
"1739019384-68","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oiseau Maknol","https://sn.coinafrique.com/annonce/autres-animaux/oiseau-maknol-2583338","","","Kaffrine, Sénégal",""
"1739019387-69","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie","https://sn.coinafrique.com/annonce/autres-animaux/oie-2630503","","","Mbour, Sénégal",""
"1739019389-70","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chatons","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2637004","","","Gorée, Dakar, Sénégal",""
"1739019392-71","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Paon bleu","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-2663712","","","Dakar, Sénégal",""
"1739019395-72","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bouc chèvre","https://sn.coinafrique.com/annonce/autres-animaux/bouc-chevre-2673741","","","Diamniadio, Sénégal",""
"1739019398-73","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chèvre Bouc de race","https://sn.coinafrique.com/annonce/autres-animaux/chevre-bouc-de-race-2675855","","","Louga, Sénégal",""
"1739019401-74","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches laitières","https://sn.coinafrique.com/annonce/autres-animaux/vaches-laitieres-2687649","","","Mbour, Sénégal",""
"1739019404-75","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694719","","","",""
"1739019406-76","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694720","","","",""
"1739019409-77","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694722","","","",""
"1739019412-78","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Âne Arabe","https://sn.coinafrique.com/annonce/autres-animaux/ane-arabe-2697117","","","",""
"1739019415-79","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Olpliitone 20 jours","https://sn.coinafrique.com/annonce/autres-animaux/olpliitone-20-jours-2701057","","","Dakar, Sénégal",""
"1739019418-80","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Canard","https://sn.coinafrique.com/annonce/autres-animaux/canard-2703622","","","Mamelles, Dakar, Sénégal",""
"1739019420-81","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-2709747","","","Louga, Sénégal",""
"1739019423-82","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde d'amérique","https://sn.coinafrique.com/annonce/autres-animaux/dinde-damerique-2735977","","","",""
"1739019426-83","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Angora Turc","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turc-2826620","","","Dakar, Sénégal",""
"1739019429-84","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-2846588","","","Bambey, Sénégal",""
"1739019432-85","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton angora","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-2851191","","","Fann, Dakar, Sénégal",""
"1739019435-86","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Veau","https://sn.coinafrique.com/annonce/autres-animaux/veau-2856538","","","HLM, Dakar, Sénégal",""
"1739019437-87","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chatons","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2860327","","","Grand Dakar, Dakar, Sénégal",""
"1739019440-88","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Canard Colvert","https://sn.coinafrique.com/annonce/autres-animaux/canard-colvert-2876451","","","Thies, Sénégal",""
"1739019443-89","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bouc race laitière","https://sn.coinafrique.com/annonce/autres-animaux/bouc-race-laitiere-2881915","","","Saly, Sénégal",""
"1739019446-90","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton noir blanc","https://sn.coinafrique.com/annonce/autres-animaux/chaton-noir-blanc-2886750","","","Mamelles, Dakar, Sénégal",""
"1739019449-91","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde rouge","https://sn.coinafrique.com/annonce/autres-animaux/dinde-rouge-2888081","","","Louga, Sénégal",""
"1739019451-92","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches - inséparables","https://sn.coinafrique.com/annonce/autres-animaux/perruches-inseparables-2896567","","","Parcelle Assainies, Dakar, Sénégal",""
"1739019454-93","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Jument arabe","https://sn.coinafrique.com/annonce/autres-animaux/jument-arabe-2924412","","","Kébémer, Sénégal",""
"1739019457-94","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perroquet Sénégal avec cage","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-senegal-avec-cage-2930350","","","Ngor, Dakar, Sénégal",""
"1739019460-95","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple oie de toulouse adulte","https://sn.coinafrique.com/annonce/autres-animaux/couple-oie-de-toulouse-adulte-2936871","","","Mbour, Sénégal",""
"1739019463-96","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Angora turque","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turque-2966724","","","Grand Dakar, Dakar, Sénégal",""
"1739019466-97","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-2968890","","","",""
"1739019468-98","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Porc","https://sn.coinafrique.com/annonce/autres-animaux/porc-3004606","","","Dakar, Sénégal",""
"1739019471-99","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Laor noir","https://sn.coinafrique.com/annonce/autres-animaux/laor-noir-3005811","","","Mbour, Sénégal",""
"1739019474-100","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-3012014","","","",""
"1739019480-101","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cheval","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3012715","","","Dakar, Sénégal",""
"1739019483-102","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oie adulte","https://sn.coinafrique.com/annonce/autres-animaux/oie-adulte-3025291","","","Dakar, Sénégal",""
"1739019486-103","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oisillons","https://sn.coinafrique.com/annonce/autres-animaux/oisillons-3026572","","","Dakar, Sénégal",""
"1739019489-104","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Taureau géniteur laitier","https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3039728","","","Sicap Liberté, Dakar, Sénégal",""
"1739019491-105","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cheval","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3053064","","","Dakar, Sénégal",""
"1739019494-106","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton","https://sn.coinafrique.com/annonce/autres-animaux/chaton-3054622","","","Almadies, Dakar, Sénégal",""
"1739019497-107","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Taureau - géniteur laitier","https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3087054","","","Sicap Liberté, Dakar, Sénégal",""
"1739019500-108","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Couple perruche arc en ciel","https://sn.coinafrique.com/annonce/autres-animaux/couple-perruche-arc-en-ciel-3092218","","","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1739019503-109","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Trio dindes d’amérique","https://sn.coinafrique.com/annonce/autres-animaux/trio-dindes-damerique-3092550","","","",""
"1739019506-110","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-3095614","","","HLM, Dakar, Sénégal",""
"1739019508-111","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Couple perruches ondulées","https://sn.coinafrique.com/annonce/autres-animaux/couple-perruches-ondulees-3116528","Perroquet perruches ondulées","20 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1739019511-112","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oiseaux exotiques","https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-3119376","","","Dakar, Sénégal",""
"1739019514-113","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Couple colvert","https://sn.coinafrique.com/annonce/autres-animaux/couple-colvert-3127244","","","Dakar, Sénégal",""
"1739019517-114","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oie géant","https://sn.coinafrique.com/annonce/autres-animaux/oie-geant-3133835","","","Mbour, Sénégal",""
"1739019520-115","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-3140204","","","Bambey, Sénégal",""
"1739019522-116","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Poisson vivant","https://sn.coinafrique.com/annonce/autres-animaux/poisson-vivant-3140939","","","Yoff, Dakar, Sénégal",""
"1739019525-117","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Rat","https://sn.coinafrique.com/annonce/autres-animaux/rat-3156125","","","Almadies, Dakar, Sénégal",""
"1739019528-118","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Paonneau","https://sn.coinafrique.com/annonce/autres-animaux/paonneau-3164991","","","Mbao, Dakar, Sénégal",""
"1739019531-119","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Dinde","https://sn.coinafrique.com/annonce/autres-animaux/dinde-3165522","","","Touba, Sénégal",""
"1739019534-120","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Couple dinde","https://sn.coinafrique.com/annonce/autres-animaux/couple-dinde-3169645","","","Touba, Sénégal",""
"1739019536-121","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cailles","https://sn.coinafrique.com/annonce/autres-animaux/cailles-3169648","","","Touba, Sénégal",""
"1739019539-122","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cheval","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3169679","","","Pikine, Sénégal",""
"1739019542-123","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-3172006","","","Dakar, Sénégal",""
"1739019545-124","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-3172011","","","Dakar, Sénégal",""
"1739019548-125","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Perruches ondulées","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-3215371","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal",""
"1739019550-126","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chatons 2 et 3 mois","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2-et-3-mois-3222114","","","Grand Dakar, Dakar, Sénégal",""
"1739019553-127","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-3240329","","","",""
"1739019556-128","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Perruche ondulée","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-3243586","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal",""
"1739019559-129","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-3253864","","","",""
"1739019562-130","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chaton","https://sn.coinafrique.com/annonce/autres-animaux/chaton-3254310","","","Mermoz-Sacré Coeur, Dakar, Sénégal",""
"1739019565-131","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Poisson aquarium","https://sn.coinafrique.com/annonce/autres-animaux/poisson-aquarium-3256827","","","Dakar Plateau, Dakar, Sénégal",""
"1739019568-132","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Taureau","https://sn.coinafrique.com/annonce/autres-animaux/taureau-3263210","","","Dieuppeul-Derklé, Dakar, Sénégal",""
"1739019571-133","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Taureau","https://sn.coinafrique.com/annonce/autres-animaux/taureau-3269989","","","Dieuppeul-Derklé, Dakar, Sénégal",""
"1739019573-134","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Taureau","https://sn.coinafrique.com/annonce/autres-animaux/taureau-3271377","","","Parcelle Assainies, Dakar, Sénégal",""
"1739019576-135","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oies adultes","https://sn.coinafrique.com/annonce/autres-animaux/oies-adultes-3273490","","","Guediawaye, Dakar, Sénégal",""
"1739019579-136","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-3282945","","","Grand Dakar, Dakar, Sénégal",""
"1739019582-137","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-3287170","","","Niaga, Sénégal",""
"1739019585-138","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-3287171","","","Niaga, Sénégal",""
"1739019587-139","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Chèvre mâle","https://sn.coinafrique.com/annonce/autres-animaux/chevre-male-3315646","","","Thies, Sénégal",""
"1739019590-140","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oie gardien","https://sn.coinafrique.com/annonce/autres-animaux/oie-gardien-3316810","","","Dakar, Sénégal",""
"1739019593-141","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Oie guinéen","https://sn.coinafrique.com/annonce/autres-animaux/oie-guineen-3316816","","","Dakar, Sénégal",""
"1739019596-142","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Veaux","https://sn.coinafrique.com/annonce/autres-animaux/veaux-3318063","","","Dieuppeul-Derklé, Dakar, Sénégal",""
"1739019599-143","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Caille","https://sn.coinafrique.com/annonce/autres-animaux/caille-3319937","","","Parcelle Assainies, Dakar, Sénégal",""
"1739019602-144","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Cailleteaux","https://sn.coinafrique.com/annonce/autres-animaux/cailleteaux-3319946","","","Parcelle Assainies, Dakar, Sénégal",""
"1739019604-145","https://sn.coinafrique.com/categorie/autres-animaux?page=4","Perruche","https://sn.coinafrique.com/annonce/autres-animaux/perruche-3321530","Perroquet perruches ondulées","20 000 CFA","Hann Bel-Air, Dakar, Sénégal",""
