web-scraper-order,web-scraper-start-url,Chien_links_description,Chien_links_description-href,Race,Age,Adresse,Price,Nom,Lien_image
"1738973920-57","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot boxer","https://sn.coinafrique.com/annonce/chiens/chiot-boxer-1935386","Chiot boxer","4 années","Fann, Dakar, Sénégal","Prix sur demande","Chiot boxer","Prix sur demande"
"1738973923-58","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Labrador","https://sn.coinafrique.com/annonce/chiens/chiots-labrador-1935397","Chiots Labrador","4 années","Fann, Dakar, Sénégal","Prix sur demande","Chiots Labrador","Prix sur demande"
"1738973925-59","https://sn.coinafrique.com/categorie/chiens?page=9","Chien","https://sn.coinafrique.com/annonce/chiens/chien-1940062","Chien","4 années","Dakar, Sénégal","400 000 CFA","Chien","400 000 CFA"
"1738973928-60","https://sn.coinafrique.com/categorie/chiens?page=9","Chien","https://sn.coinafrique.com/annonce/chiens/chien-1940073","Chien","4 années","Dakar, Sénégal","400 000 CFA","Chien","400 000 CFA"
"1738973931-61","https://sn.coinafrique.com/categorie/chiens?page=9","CHiots Pitbull","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-1959031","CHiots Pitbull","4 années","Mermoz-Sacré-Cœur, Dakar, Sénégal","90 000 CFA","CHiots Pitbull","90 000 CFA"
"1738973934-62","https://sn.coinafrique.com/categorie/chiens?page=9","Femelles  métisse rock / 4 chiennes","https://sn.coinafrique.com/annonce/chiens/femelles-metisse-rock-4-chiennes-1984265","Femelles  métisse rock / 4 chiennes","4 années","Mermoz-Sacré-Cœur, Dakar, Sénégal","50 000 CFA","Femelles  métisse rock / 4 chiennes","50 000 CFA"
"1738973937-63","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Chowchow","https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2047517","Chiot Chowchow","4 années","Fann, Dakar, Sénégal","Prix sur demande","Chiot Chowchow","Prix sur demande"
"1738973939-64","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2062558","Chiot Berger Allemand","4 années","Mermoz-Sacré Coeur, Dakar, Sénégal","250 000 CFA","Chiot Berger Allemand","250 000 CFA"
"1738973942-65","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Can Corso","https://sn.coinafrique.com/annonce/chiens/chiot-can-corso-2062566","Chiot Can Corso","4 années","Mermoz-Sacré Coeur, Dakar, Sénégal","300 000 CFA","Chiot Can Corso","300 000 CFA"
"1738973945-66","https://sn.coinafrique.com/categorie/chiens?page=9","Berger malinois charboné","https://sn.coinafrique.com/annonce/chiens/berger-malinois-charbone-2063869","Berger malinois charboné","4 années","Mermoz-Sacré Coeur, Dakar, Sénégal","300 000 CFA","Berger malinois charboné","300 000 CFA"
"1738973948-67","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Berger Amstaff","https://sn.coinafrique.com/annonce/chiens/chiots-berger-amstaff-2082208","Chiots Berger Amstaff","4 années","Dakar, Sénégal","130 000 CFA","Chiots Berger Amstaff","130 000 CFA"
"1738973951-68","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Yorkshire/caniche","https://sn.coinafrique.com/annonce/chiens/chiots-yorkshire-caniche-2107633","Chiots Yorkshire/caniche","4 années","Dakar, Sénégal","200 000 CFA","Chiots Yorkshire/caniche","200 000 CFA"
"1738973953-69","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots rockweile","https://sn.coinafrique.com/annonce/chiens/chiots-rockweile-2119461","Chiots rockweile","4 années","Mermoz-Sacré-Cœur, Dakar, Sénégal","290 000 CFA","Chiots rockweile","290 000 CFA"
"1738973956-70","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2151223","Chiots Rottweiler","4 années","Dakar, Sénégal","300 000 CFA","Chiots Rottweiler","300 000 CFA"
"1738973959-71","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Yorkie_Chon","https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-chon-2151616","Chiot Yorkie_Chon","4 années","Yoff, Dakar, Sénégal","300 000 CFA","Chiot Yorkie_Chon","300 000 CFA"
"1738973961-72","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot chowchow","https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2155097","Chiot chowchow","4 années","Fann, Dakar, Sénégal","Prix sur demande","Chiot chowchow","Prix sur demande"
"1738973964-73","https://sn.coinafrique.com/categorie/chiens?page=9","Bichons","https://sn.coinafrique.com/annonce/chiens/bichons-2181152","Bichons","4 années","Ngor, Dakar, Sénégal","350 000 CFA","Bichons","350 000 CFA"
"1738973967-74","https://sn.coinafrique.com/categorie/chiens?page=9","Chien","https://sn.coinafrique.com/annonce/chiens/chien-2209275","Chien","4 années","Gibraltar, Dakar, Sénégal","65 000 CFA","Chien","65 000 CFA"
"1738973971-75","https://sn.coinafrique.com/categorie/chiens?page=9","Berger blanc suisse","https://sn.coinafrique.com/annonce/chiens/berger-blanc-suisse-2211811","Berger blanc suisse","4 années","Saint Louis, Sénégal","150 000 CFA","Berger blanc suisse","150 000 CFA"
"1738973973-76","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand pure sang","https://sn.coinafrique.com/annonce/chiens/berger-allemand-pure-sang-2217466","Berger allemand pure sang","4 années","Point E, Dakar, Sénégal","150 000 CFA","Berger allemand pure sang","150 000 CFA"
"1738973977-77","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand pur sang","https://sn.coinafrique.com/annonce/chiens/berger-allemand-pur-sang-2217470","Berger allemand pur sang","4 années","Point E, Dakar, Sénégal","150 000 CFA","Berger allemand pur sang","150 000 CFA"
"1738973981-78","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots berger allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2230488","Chiots berger allemand","4 années","Guediawaye, Dakar, Sénégal","175 000 CFA","Chiots berger allemand","175 000 CFA"
"1738973985-79","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots berger belge malinois","https://sn.coinafrique.com/annonce/chiens/chiots-berger-belge-malinois-2244294","Chiots berger belge malinois","4 années","Dakar, Sénégal","150 000 CFA","Chiots berger belge malinois","150 000 CFA"
"1738973988-80","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Berger blanc","https://sn.coinafrique.com/annonce/chiens/chiot-berger-blanc-2250259","Chiot Berger blanc","4 années","Saint Louis, Sénégal","170 000 CFA","Chiot Berger blanc","170 000 CFA"
"1738973992-81","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Berger","https://sn.coinafrique.com/annonce/chiens/chiots-berger-2277897","Chiots Berger","4 années","Saint Louis, Sénégal","160 000 CFA","Chiots Berger","160 000 CFA"
"1738973994-82","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2299686","Chiots Rottweiler","4 années","Dakar, Sénégal","400 000 CFA","Chiots Rottweiler","400 000 CFA"
"1738973997-83","https://sn.coinafrique.com/categorie/chiens?page=9","Berger Allemand femelle","https://sn.coinafrique.com/annonce/chiens/berger-allemand-femelle-2300480","Berger Allemand femelle","4 années","Fass, Dakar, Sénégal","250 000 CFA","Berger Allemand femelle","250 000 CFA"
"1738974001-84","https://sn.coinafrique.com/categorie/chiens?page=9","Caniche","https://sn.coinafrique.com/annonce/chiens/caniche-2308946","Caniche","4 années","Mermoz-Sacré Coeur, Dakar, Sénégal","240 000 CFA","Caniche","240 000 CFA"
"1738974004-85","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Bichons","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-2324363","Chiots Bichons","4 années","Dakar, Sénégal","350 000 CFA","Chiots Bichons","350 000 CFA"
"1738974008-86","https://sn.coinafrique.com/categorie/chiens?page=9","Chien berger malinois","https://sn.coinafrique.com/annonce/chiens/chien-berger-malinois-2331869","Chien berger malinois","4 années","Yoff, Dakar, Sénégal","150 000 CFA","Chien berger malinois","150 000 CFA"
"1738974011-87","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2354463","Berger allemand","4 années","Dakar, Sénégal","350 000 CFA","Berger allemand","350 000 CFA"
"1738974014-88","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot yorkie","https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-2373725","Chiot yorkie","4 années","Yoff, Dakar, Sénégal","300 000 CFA","Chiot yorkie","300 000 CFA"
"1738974018-89","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2374457","Berger allemand","4 années","Dakar, Sénégal","350 000 CFA","Berger allemand","350 000 CFA"
"1738974021-90","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Caniche","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-2417666","Chiot Caniche","4 années","Dakar, Sénégal","300 000 CFA","Chiot Caniche","300 000 CFA"
"1738974025-91","https://sn.coinafrique.com/categorie/chiens?page=9","Malinois pur sang","https://sn.coinafrique.com/annonce/chiens/malinois-pur-sang-2425090","Malinois pur sang","4 années","Dakar, Sénégal","250 000 CFA","Malinois pur sang","250 000 CFA"
"1738974030-92","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2441977","Chiots malinois","4 années","Mermoz-Sacré Coeur, Dakar, Sénégal","250 000 CFA","Chiots malinois","250 000 CFA"
"1738974035-93","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots bichons","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-2443734","Chiots bichons","4 années","HLM, Dakar, Sénégal","200 000 CFA","Chiots bichons","200 000 CFA"
"1738974038-94","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-2452744","Chiots","4 années","Yoff, Dakar, Sénégal","300 000 CFA","Chiots","300 000 CFA"
"1738974042-95","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2457699","Chiots Malinois","4 années","Dakar, Sénégal","200 000 CFA","Chiots Malinois","200 000 CFA"
"1738974046-96","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Bichons Maltais","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-2460286","Chiots Bichons Maltais","4 années","Dakar, Sénégal","195 000 CFA","Chiots Bichons Maltais","195 000 CFA"
"1738974049-97","https://sn.coinafrique.com/categorie/chiens?page=9","Yorkshire toy femelle","https://sn.coinafrique.com/annonce/chiens/yorkshire-toy-femelle-2466136","Yorkshire toy femelle","4 années","Fann, Dakar, Sénégal","750 000 CFA","Yorkshire toy femelle","750 000 CFA"
"1738974052-98","https://sn.coinafrique.com/categorie/chiens?page=9","Chiens  Berger allemand","https://sn.coinafrique.com/annonce/chiens/chiens-berger-allemand-2482151","Chiens  Berger allemand","4 années","Yoff, Dakar, Sénégal","200 000 CFA","Chiens  Berger allemand","200 000 CFA"
"1738974056-99","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2508974","Berger allemand","4 années","Sicap Liberté, Dakar, Sénégal","175 000 CFA","Berger allemand","175 000 CFA"
"1738974061-100","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2528100","Chiots Rottweiler","4 années","Dakar Plateau, Dakar, Sénégal","300 000 CFA","Chiots Rottweiler","300 000 CFA"
"1738974064-101","https://sn.coinafrique.com/categorie/chiens?page=9","Chien chiwawa","https://sn.coinafrique.com/annonce/chiens/chien-chiwawa-2533324","Chien chiwawa","4 années","Dakar, Sénégal","300 000 CFA","Chien chiwawa","300 000 CFA"
"1738974067-102","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot berger malinois","https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-2534330","Chiot berger malinois","4 années","Diamniadio, Sénégal","250 000 CFA","Chiot berger malinois","250 000 CFA"
